Example name;Example content;MSO;Generated MSO
example_2;"title = 'Example 2 classic polybox'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'x01', 'x02', 'x03']
f = ['M1', 'M2', 'M3', 'A1', 'A2']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g']
r = ['M1: a * c = x01',
     'M2: b * d = x02',
     'M3: c * e = x03',
     'A1: x01 + x02 = f',
     'A2: x02 + x03 = g']
o = [[2, 2, 3, 3, 2, 12, 12],
     [2, 2, 3, 3, 2, 12, 10],
     [2, 2, 3, 3, 2, 10, 12],
     [2, 2, 3, 3, 2, 10, 10],     
     [2, 2, 3, 3, 2, 10, 14]]";"A1, M1, M2
A2, M2, M3
A1, A2, M1, M3";"M1, M2, A1
M2, M3, A2
M1, M2, M3, A1
M1, M2, M3, A2
M1, M2, A1, A2
M1, M3, A1, A2"
example_20;"title = 'Example 20'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'x01', 'x02', 'x03']
f = ['M1', 'M2', 'M3', 'A1', 'M4']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i']
r = ['M1: a * b * c = x01',
     'M2: c * d * e = x02',
     'M3: e * f * g = x03',
     'A1: a + x01 + x02 = h',
     'M4: g * x02 * x03 = i ']
o = [[1, 1, 1, 1, 1, 1, 1, 3, 1],
     [1, 1, 1, 1, 1, 1, 1, 2, 1],
     [1, 1, 1, 1, 1, 1, 1, 3, 2],
     [1, 1, 1, 1, 1, 1, 1, 2, 2]]";"A1, M1, M2
M2, M3, M4
A1, M1, M3, M4";"M1, M2, A1
M2, M3, M4
M1, M3, A1, M4"
example_21;"title = 'Example 21'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'x01', 'x02', 'x03']
f = ['O1', 'O2', 'O3', 'A1', 'O4']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i']
r = ['O1: a | b | c = x01',
     'O2: c | d | e = x02',
     'O3: e | f | g = x03',
     'A1: a & x01 & x02 = h',
     'O4: g | x02 | x03 = i ']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 0, 0]]";"A1, O1, O2
O2, O3, O4
A1, O1, O3, O4";"O1, O2, A1
O2, O3, O4"
example_22;"title = 'Example 22 xor nor nand'
x = ['a', 'b', 'c', 'd', 'e', 'x01', 'x02']
f = ['NA1', 'NO2', 'NX1']
z = ['a', 'b', 'c', 'd', 'e']
r = ['NA1: a ~& b = x01',
     'NO2: c ~| d = x02',
     'NX1: x01 ~^ x02 = e']
o = [[1, 1, 1, 1, 1],
     [1, 1, 1, 1, 0]]";NA1, NO2, NX1;NA1, NO2, NX1
example_23;"title = 'Example 23'
x = ['a', 'b', 'c']
f = ['A1']
z = ['a', 'b', 'c']
r = ['A1: a + b = c']
o = [[1, 1, 2],
     [1, 1, 1]]";A1;A1
example_24;"title = 'Example 24 inverted polybox'
x = ['a', 'b', 'c', 'd', 'e', 'x01', 'x02']
f = ['A1', 'A2', 'M1']
z = ['a', 'b', 'c', 'd', 'e']
r = ['A1: a + b = x01',
     'A2: c + d = x02',
     'M1: x01 * x02 = e']
o = [[1, 1, 1, 1, 4],
     [1, 1, 1, 1, 2]]";A1, A2, M1;A1, A2, M1
example_3;"title = 'Example 3 only A'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'x01', 'x02', 'x03', 'x04', 'x05']
f = ['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']
r = ['A1: a + b = x01',
     'A2: b + c = x02',
     'A3: c + d = x03',
     'A4: d + e = x04',
     'A5: x01 + x02 = x05',
     'A6: x03 + x04 = g',
     'A7: x05 + f = h']
o = [[1, 1, 1, 1, 1, 1, 4, 5],
     [1, 1, 1, 1, 1, 1, 5, 5],
     [1, 1, 1, 1, 1, 1, 4, 4],
     [1, 1, 1, 1, 1, 1, 5, 4]]";"A3, A4, A6
A1, A2, A5, A7";"A3, A4, A6
A1, A2, A5, A7"
example_4;"title = 'Example 4 only M'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'x01', 'x02', 'x03', 'x04', 'x05']
f = ['M1', 'M2', 'M3', 'M4', 'M5', 'M6', 'M7']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']
r = ['M1: a * b = x01',
     'M2: b * c = x02',
     'M3: c * d = x03',
     'M4: d * e = x04',
     'M5: x01 * x02 = x05',
     'M6: x03 * x04 = g',
     'M7: x05 * f = h']
o = [[1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 2],
     [1, 1, 1, 1, 1, 1, 2, 1],
     [1, 1, 1, 1, 1, 1, 2, 2]]";"M3, M4, M6
M1, M2, M5, M7";"M3, M4, M6
M1, M2, M5, M7"
example_5;"title = 'Example 5 mixed A and M'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'x01', 'x02', 'x03', 'x04', 'x05']
f = ['A1', 'M1', 'M2', 'A2', 'A3', 'A4', 'M3']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']
r = ['A1: a + b = x01',
     'M1: b * c = x02',
     'M2: c * d = x03',
     'A2: d + e = x04',
     'A3: x01 + x02 = x05',
     'A4: x03 + x04 = g',
     'M3: x05 * f = h']
o = [[1, 1, 1, 1, 1, 1, 3, 3],
     [1, 1, 1, 1, 1, 1, 4, 3],
     [1, 1, 1, 1, 1, 1, 4, 4],
     [1, 1, 1, 1, 1, 1, 3, 4]]";"A2, A4, M2
A1, A3, M1, M3";"M2, A2, A4
A1, M1, A3, M3"
example_6;"title = 'Example 6'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06']
f = ['A1', 'A2', 'A3', 'A4', 'M1', 'M2', 'M3', 'M4']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k']
r = ['A1: a + b = x01',
     'A2: d + e = x02',
     'A3: g + h = x03',
     'M1: c * x01 = x04',
     'M2: f * x02 = x05',
     'M3: i * x03 = x06',
     'A4: x04 + x05 = j',
     'M4: x05 * x06 = k']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3]]";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2, M1, M2, A4
A2, A3, M2, M3, M4"
example_7;"title = 'Example 7'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'x01', 'x02', 'x03', 'x04']
f = ['A1', 'M1', 'M2', 'A2', 'M3', 'M4']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i']
r = ['A1: a + b = x02',
     'M1: c * d = x01',
     'M2: e * x01 = x03',
     'A2: x02 + x03 = x04',
     'M3: f * x04 = h',
     'M4: x04 * g = i']
o = [[1, 1, 1, 1, 1, 1, 1, 3, 3],
     [1, 1, 1, 1, 1, 1, 1, 2, 3],
     [1, 1, 1, 1, 1, 1, 1, 3, 2],
     [1, 1, 1, 1, 1, 1, 1, 2, 2]]";"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"M3, M4
A1, M1, M2, A2, M3
A1, M1, M2, A2, M4"
example_8;"title = 'Example 8'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06', 'x07', 'x08']
f = ['A1', 'M1', 'A2', 'M2', 'M3', 'A3', 'A4', 'M4', 'M5', 'A5', 'A6']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j']
r = ['A1: a + b = x01',
     'M1: b * c = x02',
     'A2: c + d = x03',
     'M2: d * e = x04',
     'M3: b * x02 = x05',
     'A3: d + x04 = x06',
     'A4: x01 + x05 = x07',
     'M4: x03 * x06 = x08',
     'M5: f * x07 = h',
     'A5: x07 + x08 = i',
     'A6: g + x08 = j']
o = [[1, 1, 1, 1, 1, 1, 1, 3, 7, 5],
     [1, 1, 1, 1, 1, 1, 1, 4, 7, 5],
     [1, 1, 1, 1, 1, 1, 1, 3, 6, 5],
     [1, 1, 1, 1, 1, 1, 1, 3, 7, 4],
     [1, 1, 1, 1, 1, 1, 1, 4, 6, 4],
     [1, 1, 1, 1, 1, 1, 1, 4, 6, 5],
     [1, 1, 1, 1, 1, 1, 1, 4, 7, 4],
     [1, 1, 1, 1, 1, 1, 1, 3, 6, 4]]";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A2, M2, A3
M5, A5, A6
A1, M1, M3, A4, M5"
example_9;"title = 'Example 9 nine M and six A'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'm', 'n', 'o', 'p', 'q', 'r', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06', 'x07', 'x08', 'x09', 'x10', 'x11', 'x12']
f = ['M1', 'M2', 'M3', 'M4', 'M5', 'M6', 'M7', 'M8', 'M9', 'A1', 'A2', 'A3', 'A4', 'A5', 'A6']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'm', 'n', 'o', 'p', 'q', 'r']
r = ['M1: a * c = x01',
     'M2: b * d = x02',
     'M3: c * e = x03',
     'M4: f * h = x04',
     'M5: g * i = x05',
     'M6: h * j = x06',
     'M7: k * m = x07',
     'A1: x01 + x02 = x08',
     'A2: x02 + x03 = x09',
     'A3: x04 + x05 = x10',
     'A4: x05 + x06 = x11',
     'M8: n * o = x12',
     'A5: x07 + x08 = p',
     'M9: x09 * x10 = q',
     'A6: x11 + x12 = r']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 3],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]]";"A1, A5, M1, M2, M7
A4, A6, M5, M6, M8
A2, A3, M2, M3, M4, M5, M9
A1, A2, A3, A5, M1, M3, M4, M5, M7, M9
A2, A3, A4, A6, M2, M3, M4, M6, M8, M9
A1, A2, A3, A4, A5, A6, M1, M3, M4, M6, M7, M8, M9";"M1, M2, M7, A1, A5
M5, M6, A4, M8, A6
M2, M3, M4, M5, A2, A3, M9"
